,ts_code,ann_date,f_ann_date,comp_type,net_profit,finan_exp,free_cashflow,im_net_cashflow_oper_act
2200,000921.SZ,20190426,20190426,1,,,-816650520.56,
2201,000921.SZ,20190329,20190329,1,1423074375.69,13222445.15,1600776675.0041,1049366564.25
2202,000922.SZ,20190425,20190425,1,,,-101541999.03,
2203,000922.SZ,20190330,20190330,1,278689069.02,,-240243239.6484,161700232.32
2204,000923.SZ,20190430,20190430,1,,,-257214052.7559,
2205,000923.SZ,20190430,20190430,1,212289419.74,97708076.29,-731809260.083,610931646.41
2206,000925.SZ,20190426,20190426,1,,,-357274567.34,
2207,000925.SZ,20190416,20190416,1,26426995.63,121302478.93,-2905270.5891,155391605.73
2208,000926.SZ,20190427,20190427,1,,,-1895785874.86,
2209,000926.SZ,20190427,20190427,1,1185732623.36,372773730.97,-2346215500.3209,93482620.02
2210,000927.SZ,20190430,20190430,1,,,-342712294.66,
2211,000927.SZ,20190330,20190330,1,36598179.51,111614607.93,-926710933.3327,-1305949934.85
2212,000928.SZ,20190430,20190430,1,,,-563043733.3378,
2213,000928.SZ,20190329,20190329,1,426284820.78,61648447.48,1522729201.653,1231081346.91
2214,000929.SZ,20190424,20190424,1,,,-2706311.32,
2215,000929.SZ,20190201,20190201,1,-65717772.37,3650912.6,,31001351.48
2216,000929.SZ,20190201,20190201,1,-65717772.37,3650912.6,89420910.19,31001351.48
2217,000930.SZ,20190430,20190430,1,,,,
2218,000930.SZ,20190430,20190430,1,,,21930438.2489,
2219,000930.SZ,20190430,20190430,1,517368106.62,189085118.97,,-923311085.25
2220,000930.SZ,20190430,20190430,1,517368106.62,189085118.97,-2803781117.5154,-923311085.25
2221,000931.SZ,20190427,20190427,1,,,-173173585.2,
2222,000931.SZ,20190417,20190417,1,120880296.12,45410141.06,34282216.3605,205222888.99
2223,000932.SZ,20190429,20190429,1,,,,
2224,000932.SZ,20190429,20190429,1,,,-4062006959.46,
2225,000932.SZ,20190328,20190328,1,8603724800.77,1714779575.93,13780089948.8926,14401698596.68
2226,000933.SZ,20190427,20190427,1,,,766374323.01,
2227,000933.SZ,20190427,20190427,1,-63944008.47,2027130244.6,1779584051.2812,421838800.49
2228,000935.SZ,20190427,20190427,1,,,73867993.51,
2229,000935.SZ,20190427,20190427,1,703735780.95,39950599.75,-313239317.3652,693782464.23
2230,002274.SZ,20190424,20190424,1,,,-53073156.55,
