,ts_code,ann_date,end_date,revenue,operate_profit,n_income,total_assets,diluted_roe
4999,002348.SZ,20170228,20161231,403507350.39,40282026.41,42513563.19,1319155851.65,3.46
5000,002381.SZ,20180228,20171231,1134646323.47,122019613.41,109571381.24,2071302232.85,6.62
5001,002381.SZ,20170228,20161231,1071943872.16,40751692.83,54354289.61,2429747785.08,3.33
5002,601678.SH,20190126,20181231,6751403400.0,976029000.0,701795900.0,10659554600.0,11.94
5003,601678.SH,20180710,20180630,3375090300.0,609605700.0,460595300.0,10243463100.0,7.92
5004,601678.SH,20180210,20171231,6465007900.0,1102640400.0,825761300.0,7914263000.0,15.5
5005,601678.SH,20170121,20161231,4862376400.0,458997600.0,358813100.0,7181339100.0,7.41
5006,300034.SZ,20190227,20181231,892587900.0,136257800.0,107371200.0,2585162400.0,7.55
5007,300034.SZ,20180227,20171231,674708200.0,53699100.0,57640700.0,1885624900.0,4.34
5008,300034.SZ,20170228,20161231,681427900.0,106200400.0,95967900.0,1793930500.0,7.67
5009,300032.SZ,20190228,20181231,2868463719.5,-2323661972.79,-2287984141.12,2502723282.82,-78.94
5010,300032.SZ,20180228,20171231,3705052543.56,-436897068.33,-418562856.91,7058698900.13,-9.58
5011,300032.SZ,20170228,20161231,3826634968.78,139547479.81,146723400.92,6504567116.58,4.57
5012,002351.SZ,20190223,20181231,880866312.97,61855300.2,53865933.68,1989105871.48,3.04
5013,002351.SZ,20180227,20171231,900912226.53,152074869.37,122768248.67,2032073998.87,6.92
5014,002351.SZ,20170216,20161231,726172574.6,97139464.12,86612262.79,1942028995.99,5.02
5015,002352.SZ,20190227,20181231,90943000000.0,5818000000.0,4556000000.0,71615000000.0,13.21
5016,002352.SZ,20180227,20171231,71094000000.0,6449000000.0,4771000000.0,57660000000.0,18.43
5017,002352.SZ,20170223,20161231,57483000000.0,3693000000.0,4180000000.0,44135000000.0,22.46
5018,002591.SZ,20190226,20181231,328709487.61,45367318.13,41799722.22,1476719626.65,3.41
5019,002591.SZ,20180224,20171231,253091488.55,-18745874.26,14599176.61,1506039771.59,1.33
5020,002591.SZ,20170214,20161231,140963437.09,3761094.43,14472125.79,918499856.18,2.05
5021,002355.SZ,20190228,20181231,1889441685.6,-223430010.43,-234556111.69,4940638210.79,-8.9
5022,002355.SZ,20180228,20171231,1868755407.19,122095020.39,66658281.09,4287531289.55,3.24
5023,002355.SZ,20170120,20161231,1296391506.9,83766703.67,51426653.35,3977929059.02,2.57
5024,002353.SZ,20190228,20181231,4595013300.0,762037000.0,612288800.0,11938136800.0,7.49
5025,002353.SZ,20180228,20171231,3187076543.27,70324765.15,67789630.64,10377700062.66,0.86
5026,002353.SZ,20170228,20161231,2898845003.8,105122758.95,124120903.48,10055832971.27,1.58
5027,300029.SZ,20190227,20181231,9576609.27,-152051923.57,-150086090.02,165087893.7,-83.4
5028,300029.SZ,20180228,20171231,333720631.77,74586581.2,71537254.97,528258435.93,31.86
5029,300029.SZ,20170228,20161231,148594994.97,-63910443.66,-47668760.39,631615278.95,-22.29
5030,002354.SZ,20190228,20181231,2517316752.9,-5750434192.43,-7521889155.46,8211167038.69,-143.62
5031,002354.SZ,20180228,20171231,3106414995.7,1203131897.13,1014890359.15,14640896223.63,15.45
5032,002354.SZ,20170228,20161231,1742006459.53,606346459.51,581992220.16,7379193607.7,11.14
5033,002359.SZ,20190228,20181231,3194449604.29,287570969.44,84526903.19,17187399431.41,1.38
5034,002359.SZ,20180224,20171231,2095988808.48,378428601.59,215985430.04,12607774214.36,5.0
5035,300035.SZ,20190220,20181231,612079030.78,160808075.69,132192252.5,1960216341.6,11.05
5036,300035.SZ,20180213,20171231,415189170.94,54886398.85,49531398.76,1448662386.45,4.55
5037,300035.SZ,20170228,20161231,156173410.91,19805661.18,22213981.58,973178801.3,2.69
5038,300030.SZ,20190221,20181231,550007753.47,-125947438.92,-125889762.67,1518918378.52,-14.18
5039,300030.SZ,20180228,20171231,548866642.44,14667615.57,9837125.13,1733513920.4,1.04
5040,300030.SZ,20170228,20161231,517103043.3,26591317.51,32260210.77,1471674633.5,3.46
5041,300247.SZ,20190226,20181231,1067458649.67,-160805779.01,-791102933.5,2075858444.4,-38.72
5042,300247.SZ,20180227,20171231,1221589618.3,121758048.23,70190747.57,3070761760.46,3.02
5043,300247.SZ,20170228,20161231,619833092.14,83190373.58,88480496.67,2875684697.61,5.14
5044,300036.SZ,20190228,20181231,1528178818.78,143297283.02,166937680.17,2873148449.2,8.96
5045,300036.SZ,20180228,20171231,1233544635.9,199722804.8,196422148.03,2645543737.21,11.52
5046,300036.SZ,20170228,20161231,833323456.12,111427993.32,126058687.9,2207079722.42,10.94
5047,002358.SZ,20190228,20181231,2700838142.7,316129254.59,280147926.0,9300203360.01,5.69
5048,002358.SZ,20180228,20171231,3551471459.74,470187348.67,446724764.38,8549338246.37,9.49
5049,002358.SZ,20170712,20170630,1545240240.31,232533986.36,198681159.35,7707758946.17,4.32
5050,002358.SZ,20170228,20161231,2925505746.55,340752355.45,328823707.97,7358600316.03,10.84
5051,002549.SZ,20190222,20181231,504559726.81,111809380.13,94326505.04,1413350700.98,10.21
5052,002549.SZ,20180228,20171231,428285775.3,65438329.99,53148654.79,1205082963.04,6.09
5053,002549.SZ,20170211,20161231,269931612.72,8825497.4,20096121.56,1151843055.66,2.31
5054,002598.SZ,20190228,20181231,941140564.33,93212627.91,84638043.36,1386633804.76,10.61
5055,002598.SZ,20180228,20171231,701008138.92,75716047.95,69511643.94,1105301585.38,9.17
5056,002598.SZ,20170228,20161231,481724121.98,58105861.0,55837895.65,1030273251.13,7.48
5057,300241.SZ,20190228,20181231,1562008077.41,104945498.78,87371256.38,2412029424.62,6.94
5058,300241.SZ,20180228,20171231,1608115504.18,101277623.61,131468121.14,2397334953.36,12.09
5059,300241.SZ,20170228,20161231,1187221671.56,49122872.38,53453319.91,1881067676.45,5.25
5060,300258.SZ,20190226,20181231,1265779897.74,335869410.71,290262119.0,2824556512.83,16.34
5061,300258.SZ,20180226,20171231,1129511536.28,296224324.05,250815471.19,2385776969.14,16.12
5062,300258.SZ,20170210,20161231,895013807.21,219742289.84,188525559.45,2039758665.04,13.78
5063,300242.SZ,20190228,20181231,5609025174.36,-1241468454.91,-1251873571.39,2113393802.32,-75.09
5064,300242.SZ,20180228,20171231,2714833864.84,210469489.58,202917917.37,2779508509.62,9.13
5065,300242.SZ,20170228,20161231,2823536960.52,180813831.61,183310823.67,2784665844.82,8.97
5066,002607.SZ,20190228,20181231,6236987812.57,1340027706.65,1152887416.22,7202071521.23,71.89
5067,002607.SZ,20180228,20171231,6665195027.59,110657545.26,77763238.42,4626252552.16,3.68
5068,002607.SZ,20170228,20161231,6560651028.16,57191340.66,73493238.79,4266224343.36,4.87
5069,002602.SZ,20190228,20181231,8073993724.67,1090486094.05,1005646246.02,16851593392.45,7.58
5070,002602.SZ,20180228,20171231,3501474992.79,971855816.79,802469122.68,6445034576.01,16.77
5071,002602.SZ,20170228,20161231,3455902430.25,588808556.27,505085675.53,5505874058.77,12.0
5072,300243.SZ,20190223,20181231,1445439011.75,112475174.88,92191596.19,1058460249.19,16.63
5073,300243.SZ,20180228,20171231,1086980759.04,39395895.36,30253956.82,900983651.32,6.11
5074,300243.SZ,20170228,20161231,873514670.57,23157529.29,17811239.19,864191091.92,3.76
5075,300244.SZ,20190228,20181231,6969857310.89,709226199.33,387098964.97,10684468326.5,15.53
5076,300244.SZ,20180228,20171231,4995688333.08,586043025.41,349573225.06,7367941353.46,15.96
5077,300244.SZ,20170228,20161231,3827664414.26,411794379.78,263232025.13,5528758742.59,13.66
5078,002603.SZ,20190228,20181231,4814878709.99,739380517.47,597791312.43,8514089648.84,8.12
5079,002603.SZ,20180227,20171231,4159740330.32,664121484.64,546388860.07,7896369199.01,8.03
5080,002603.SZ,20170223,20161231,3806697060.64,626447132.71,542342093.69,6250067716.1,10.63
5081,300250.SZ,20190228,20181231,416453546.78,-489343977.7,-302201945.54,1552635753.07,-20.8
5082,300250.SZ,20180228,20171231,452259330.78,24217455.71,81660498.38,1864258800.97,4.91
5083,300250.SZ,20170228,20161231,434312108.13,105397699.26,130476011.32,1815349266.98,9.3
5084,300248.SZ,20190228,20181231,837627576.7,108201345.71,96527248.07,2114418866.27,6.85
5085,300248.SZ,20180228,20171231,769619720.03,129818803.94,119986527.23,2038407849.75,9.6
5086,300248.SZ,20170228,20161231,683017129.76,73783576.55,85634705.63,1816298804.18,9.23
5087,300246.SZ,20190301,20181231,813673800.0,91602800.0,63847400.0,915212800.0,11.88
5088,300246.SZ,20180228,20171231,711472900.0,86334300.0,57530900.0,798047400.0,11.75
5089,300246.SZ,20170228,20161231,594314400.0,83307900.0,67164900.0,686565900.0,14.67
5090,002620.SZ,20190228,20181231,3614590700.0,192541400.0,148922200.0,5247509800.0,6.98
5091,002620.SZ,20180227,20171231,3006185900.0,165394400.0,136289400.0,4208152000.0,6.69
5092,002620.SZ,20170228,20161231,2436133000.0,110045500.0,100054800.0,3597917900.0,6.52
5093,300251.SZ,20190227,20181231,1525890976.7,1964944970.47,1409666358.01,11076799674.19,16.46
5094,300251.SZ,20180228,20171231,1869516063.6,666997238.03,817839938.17,10977292310.58,11.34
5095,300251.SZ,20170228,20161231,1733232986.3,791364742.7,736306191.33,9221671875.31,10.59
5096,002911.SZ,20190118,20181231,5094342388.88,615963224.92,355304671.8,5486899507.02,14.46
5097,002911.SZ,20180713,20180630,2380697830.26,391377350.57,238901172.67,5251265832.13,9.73
5098,002911.SZ,20180115,20171231,4292943178.87,604856730.9,347723657.08,5203102705.01,21.02
